R,C,PAS,AHM,DD5
1,0,,,
3,0,,,
3,1,,,
4,0,122.645164,15.506452,339.0645
4,1,,,
4,2,,,
5,0,128.03226,15.212903,336.7097
5,1,,,
5,2,,,
5,3,,,
5,6,128.32259,16.135485,348.32257000000004
5,7,,,
6,0,138.48387,14.480645,318.32257000000004
6,1,135.29033,15.235484,330.12903
6,2,124.19355,16.07742,340.7097
6,3,,,
6,4,,,
6,5,132.7742,15.822579999999999,348.2903
6,6,133.35484,16.251614,352.03226
6,7,131.35484,16.493547,352.80646
6,8,129.32259,16.887096,353.25806
6,9,,,
7,0,153.48387,13.0,308.74194
7,1,152.25807,13.048388000000001,313.25806
7,2,136.25807,14.945160999999999,334.3871
7,3,141.90323,14.151613000000001,332.1613
7,4,134.83871000000002,15.764516,347.2258
7,5,134.03226,16.161291000000002,351.35483
7,6,130.83871000000002,16.57742,353.5484
7,7,133.96774,16.570969,354.0645
7,8,134.16128999999998,16.774193,356.19354
7,9,152.80646000000002,14.741935999999999,358.2903
7,10,,,
8,0,151.74193,13.435483999999999,311.12903
8,1,146.45161000000002,14.064516000000001,322.03226
8,2,140.67741,14.612904,334.74194
8,3,137.25807,15.5,344.19354
8,4,136.48387,16.13871,352.3871
8,5,136.12903,16.319354999999998,354.87097
8,6,136.74193,16.393549,356.4516
8,7,137.64516,16.503225,358.3871
8,8,132.32259,17.225807,361.96774
8,9,,,
8,10,,,
9,0,157.80646000000002,12.725806,301.80646
9,1,141.96774,14.709678,334.2258
9,2,141.51613,14.738709,339.74194
9,3,140.16128999999998,15.267742000000002,344.35483
9,4,140.29033,15.6967745,352.5484
9,5,139.58064,16.093548000000002,356.58066
9,6,137.2258,16.56129,359.0
9,7,134.58064,17.058065,363.9355
9,8,132.06451,17.483871,366.35483
9,9,131.45161000000002,17.73871,369.96774
9,10,,,
9,11,,,
10,0,150.96774,13.745160999999998,318.7742
10,1,161.93549,12.96129,314.80646
10,2,143.32259,14.954839000000002,340.32257000000004
10,3,142.25807,15.316129,350.74194
10,4,141.7742,15.674192999999999,353.5484
10,5,139.64516,16.187098000000002,357.5484
10,6,146.2258,15.212903,356.7097
10,7,138.74193,16.841935999999997,370.67742999999996
10,8,137.25807,17.235483,372.32257000000004
10,9,132.12903,17.932259,376.19354
10,10,128.96774,18.319354999999998,375.8387
10,11,125.67742,18.780645,374.96774
10,12,,,
10,13,,,
10,14,117.41936000000001,20.390322,377.35483
10,15,,,
10,18,107.45161399999999,21.86129,376.35483
11,0,171.35484,12.732258,324.64517
11,1,160.7742,13.709678,336.48386
11,2,145.64516,15.077419,353.32257000000004
11,3,145.25807,15.245160999999998,351.90323
11,4,148.41936,15.087097,352.32257000000004
11,5,148.03226,15.209678,355.2903
11,6,143.80646000000002,15.590322500000001,368.7742
11,7,139.12903,17.241936,382.64517
11,8,135.67741,17.732257999999998,380.8387
11,9,135.29033,17.893549,383.35483
11,10,132.2258,18.287096,382.9355
11,11,129.48387,18.580645,382.32257000000004
11,12,122.67742,19.451612,382.67742999999996
11,13,119.48387,20.132257,384.4516
11,14,114.54838600000001,20.764517,382.2258
11,15,117.51613,20.63871,387.19354
11,16,113.0,21.222579999999997,381.7742
11,17,109.29032,21.745161,379.7097
11,18,107.29032,22.17742,381.09677
11,19,102.83870999999999,22.974194,385.12903
11,20,104.67742,22.838708999999998,386.7742
12,0,157.58064,14.435483999999999,349.7742
12,1,157.32259,14.490322,352.96774
12,2,160.80646000000002,14.009678,346.9355
12,3,158.51613,14.2709675,350.41934
12,4,153.70967,14.748387,357.80646
12,5,144.25807,15.932258,372.48386
12,6,145.0,16.161291000000002,387.7742
12,7,141.80646000000002,16.819354999999998,389.9355
12,8,140.16128999999998,17.341935999999997,389.41934
12,9,140.0,17.106451,385.48386
12,10,133.29033,18.148388,386.7097
12,11,126.80645,18.970968,386.19354
12,12,125.90323000000001,19.274193,393.6129
12,13,124.03226000000001,19.780645,402.90323
12,14,118.354836,20.619354,401.0645
12,15,117.25806399999999,20.78387,393.8387
12,16,112.48387,21.429031,387.58066
12,17,111.16129,21.629032000000002,389.4516
12,18,106.32258,22.403225,390.96774
12,19,105.51613,22.703226,391.25806
12,20,102.16129000000001,23.219355,391.58066
12,21,99.741936,23.858065,393.0645
12,22,,,
13,0,192.54838999999998,11.732258,335.2258
13,1,201.32259,10.783871000000001,319.41934
13,2,170.83871000000002,13.3032255,346.09677
13,3,163.67741,14.167742,359.67742999999996
13,4,155.54838999999998,15.077419,374.12903
13,5,146.7742,16.054838,387.8387
13,6,147.25807,16.167742,394.64517
13,7,143.06451,16.780645,394.09677
13,8,140.87097,17.029032,393.74194
13,9,142.09677,16.774193,394.7097
13,10,139.3871,17.225807,394.64517
13,11,141.16128999999998,17.306452,392.25806
13,12,123.67742,19.835484,408.74194
13,13,120.51613,20.412903,409.32257000000004
13,14,117.22581000000001,20.916128,404.64517
13,15,116.87096399999999,20.958064999999998,405.25806
13,16,112.74193600000001,21.387096,396.74194
13,17,109.3871,22.019356,395.32257000000004
13,18,105.54838600000001,22.722579999999997,399.2903
13,19,104.35483599999999,23.038710000000002,397.41934
13,20,102.77419,23.345160999999997,402.58066
13,21,103.548386,22.980644,398.87097
13,22,98.19355,24.461289999999998,402.7742
13,23,96.41936,24.632257,401.7742
13,24,,,
14,0,188.19353999999998,12.53871,352.67742999999996
14,1,179.54838999999998,13.596774,379.35483
14,2,176.6129,13.280645000000002,369.03226
14,3,156.93549,15.006452,388.0645
14,4,151.80646000000002,15.593549,389.67742999999996
14,5,150.87097,15.974194,396.9355
14,6,147.87097,16.212904,395.67742999999996
14,7,146.93549,16.280645,396.35483
14,8,144.32259,16.490322,397.64517
14,9,139.12903,17.1,405.12903
14,10,138.2258,17.551613,404.03226
14,11,128.6129,19.116129,410.12903
14,12,129.51613,19.158064000000003,419.9355
14,13,124.93548600000001,19.919355,418.80646
14,14,124.25806399999999,20.003225,409.64517
14,15,115.54838600000001,20.935484,401.41934
14,16,111.48387,21.8,401.09677
14,17,106.80645,22.493547,403.09677
14,18,114.12903600000001,21.519356,410.03226
14,19,107.58063999999999,22.516129,410.5484
14,20,103.35483599999999,23.332258,408.58066
14,21,99.935486,24.025806,407.90323
14,22,98.3871,24.412903,405.90323
14,23,98.09676999999999,24.593548000000002,412.58066
14,24,96.0,24.887096,417.4516
15,0,188.41936,13.974194,428.6129
15,1,187.6129,13.064516000000001,391.58066
15,2,178.09677,14.048388000000001,402.1613
15,3,183.41936,13.509678,393.80646
15,4,166.06451,15.203226,403.58066
15,5,156.54838999999998,15.716129,403.64517
15,6,159.96774,15.129032,396.09677
15,7,163.54838999999998,14.935483999999999,396.03226
15,8,146.03226,16.629032000000002,409.9355
15,9,140.0,17.36129,413.3871
15,10,133.58064,18.303226000000002,416.80646
15,11,129.80646000000002,19.006453,419.64517
15,12,130.67741,19.032259,420.96774000000005
15,13,129.96774,19.093548000000002,413.58066
15,14,124.645164,19.76129,410.1613
15,15,125.51613,19.606451,409.51614
15,16,130.29033,18.619354,397.67742999999996
15,17,123.25806399999999,19.641935,402.64517
15,18,112.09676999999999,21.706451,409.8387
15,19,104.32258,23.35484,412.0
15,20,103.09676999999999,23.083872,415.25806
15,21,103.22581,23.551613,421.03225999999995
15,22,99.22581,24.241936,417.90323
15,23,96.51613,24.967741,424.41934000000003
15,24,,,
16,0,177.25807,15.66129,458.58065999999997
16,1,174.64516,15.232257999999998,437.41934000000003
16,2,165.45161000000002,16.7,461.3871
16,3,166.45161000000002,16.022581,436.74194000000006
16,4,168.25807,14.954839000000002,404.2258
16,5,162.64516,15.154839,400.32257000000004
16,6,163.48387,15.045160999999998,399.19354
16,7,164.32259,15.070967999999999,404.7742
16,8,158.67741,15.296774,398.6129
16,9,157.12903,15.33871,401.0
16,10,138.6129,17.809677,419.25806
16,11,134.29033,18.490322,422.51614000000006
16,12,133.19353999999998,18.64516,415.2258
16,13,136.0,18.125807000000002,413.25806
16,14,133.19353999999998,18.435484,409.6129
16,15,130.41936,18.658064000000003,401.32257000000004
16,16,134.19353999999998,17.670967,383.2258
16,17,130.67741,18.012903,377.25806
16,18,132.0,17.522581,367.87097
16,19,111.3871,21.3,400.80646
16,20,107.41936000000001,22.35484,415.19354
16,21,104.0,23.338708999999998,424.0
16,22,98.16129000000001,24.606451,429.35483
16,23,97.0,25.012903,441.96774000000005
16,24,,,
16,31,,,
17,0,167.48387,17.609678,498.67742999999996
17,1,174.32259,16.680645000000002,484.0
17,2,178.74193,15.648387,449.58065999999997
17,3,175.19353999999998,15.470967000000002,430.09677
17,4,192.70967,13.470967000000002,398.12903
17,5,184.32259,14.212903,410.51614
17,6,183.06451,13.745160999999998,396.35483
17,7,174.35484,13.970967000000002,386.7742
17,8,152.96774,16.067741,410.58066
17,9,142.80646000000002,17.374192999999998,427.48385999999994
17,10,144.45161000000002,17.258064,429.2258
17,11,143.35484,17.122581,419.74194000000006
17,12,144.51613,16.967741,411.2258
17,13,133.96774,18.319354999999998,418.41934
17,14,132.32259,18.412903,412.0645
17,15,132.35484,18.290323,402.32257000000004
17,16,136.0,17.748386,395.8387
17,17,182.67741,12.225806,317.74194
17,18,127.45161399999999,18.096775,371.09677
17,19,109.19355,22.183870000000002,416.6129
17,20,105.87096399999999,22.829033,424.74194000000006
17,21,106.22581000000001,22.787096,430.51614000000006
17,22,97.90323000000001,24.777420000000003,443.96774000000005
17,23,97.548386,25.222579999999997,452.2903
17,24,,,
17,28,,,
17,29,96.58064,24.893549,426.3871
17,30,96.548386,24.916128,426.4516
17,31,96.6129,24.883871,426.8387
17,32,96.77419,24.870967999999998,430.0645
18,0,169.2258,17.754839,500.6129
18,1,179.16128999999998,16.432259,470.5484
18,2,179.03226,16.606451,467.7097
18,3,193.96774,14.877419,432.9355
18,4,195.03226,14.158064999999999,417.25806
18,5,189.2258,14.154839,412.3871
18,6,171.83871000000002,14.745160999999998,407.64517
18,7,156.64516,15.883871,415.7742
18,8,155.93549,15.919354,415.90323
18,9,151.06451,16.432259,421.58065999999997
18,10,144.80646000000002,17.090322,426.0
18,11,146.64516,16.748386,415.5484
18,12,141.54838999999998,17.64516,420.6129
18,13,137.12903,18.3,423.2258
18,14,138.0,18.032259,424.5484
18,15,133.96774,18.225807,416.2903
18,16,152.96774,15.129032,358.8387
18,17,168.51613,13.3032255,325.87097
18,18,147.29033,15.683871,361.25806
18,19,130.25807,18.222579999999997,393.96774
18,20,107.3871,22.606451,431.8387
18,21,104.48387,23.383871,443.09677
18,22,98.51613,24.809677,454.87097
18,23,97.451614,25.109678,455.8387
18,24,97.41936,25.222579999999997,460.41934000000003
18,28,,,
18,29,95.064514,25.206451,439.25805999999994
18,30,96.58064,24.890322,432.87097
18,31,96.67742,24.86129,434.12903
18,32,97.29032,24.82258,434.3871
18,33,98.90323000000001,24.683870000000002,436.4516
18,34,99.258064,24.635485,439.5484
19,0,163.90323,18.996775,522.871
19,1,172.48387,17.893549,498.09677
19,2,210.09677000000002,14.061291,425.35483
19,3,199.29033,14.4,426.51614000000006
19,4,200.48387,14.093549,418.3871
19,5,186.7742,15.138710000000001,427.09677
19,6,197.93549,13.309676999999999,397.58066
19,7,161.25807,15.503226000000002,410.3871
19,8,159.19353999999998,15.487097,410.12903
19,9,149.6129,16.519356,422.41934000000003
19,10,146.90323,16.764517,426.90323
19,11,153.64516,15.980645,414.67742999999996
19,12,147.6129,16.890322,415.67742999999996
19,13,142.96774,17.416128,421.4516
19,14,141.3871,17.538710000000002,422.19354000000004
19,15,144.90323,16.696773999999998,392.41934
19,16,138.64516,17.483871,401.1613
19,17,132.6129,18.003225,405.2903
19,18,132.03226,18.051613,398.74194
19,19,129.54838999999998,18.403225,404.7742
19,20,105.90323000000001,23.051613,443.12903
19,21,103.35483599999999,23.603226,450.7097
19,22,100.3871,24.545162,462.9355
19,23,98.64516400000001,24.948387,465.3871
19,24,97.70968,25.267742000000002,467.67742999999996
19,28,,,
19,29,96.67742,24.983871,446.25805999999994
19,30,98.32258,24.932259,444.0645
19,31,98.80645,24.7,434.80645999999996
19,32,98.96774,24.56129,445.32257000000004
19,33,99.741936,24.470968,445.0645
19,34,100.064514,24.380646,442.2903
19,35,100.32258,24.229032999999998,440.96774000000005
20,0,164.83871000000002,19.006453,513.3871
20,1,176.19353999999998,17.777420000000003,491.03225999999995
20,2,194.70967,15.329032000000002,448.2258
20,3,182.2258,16.687098000000002,474.12903
20,4,180.74193,16.416128,454.2258
20,5,218.70967000000002,12.367742,394.2903
20,6,200.25807,12.829032000000002,383.8387
20,7,187.0,12.993547999999999,378.09677
20,8,186.51613,13.151613000000001,388.90323
20,9,165.06451,15.045160999999998,418.64517
20,10,158.12903,15.522581,417.19354
20,11,162.12903,15.1,402.80646
20,12,165.3871,14.877419,391.58066
20,13,169.7742,14.512903,385.12903
20,14,153.64516,15.912903,393.74194
20,15,142.70967,17.1,406.80646
20,16,131.19353999999998,18.477419,420.3871
20,17,133.3871,18.074194,412.6129
20,18,124.41936000000001,19.529032,435.64517
20,19,121.70968,19.987097,438.58065999999997
20,20,114.645164,21.519356,451.19354000000004
20,21,102.935486,24.045162,465.5484
20,22,100.6129,24.477419,472.0645
20,23,98.6129,25.025806,475.2903
20,24,98.77419,24.983871,481.80645999999996
20,25,99.16129000000001,25.103226,479.90323
20,26,,,
20,28,,,
20,29,98.90323000000001,24.85484,466.2258
20,30,99.870964,24.583872,461.2258
20,31,99.935486,24.519356,454.19354000000004
20,32,100.77419,24.293549,455.96774000000005
20,33,100.19355,24.306452,447.3871
20,34,100.48387,24.203226,449.5484
20,35,100.83870999999999,24.135485,447.48385999999994
20,36,100.70968,24.109678,453.3871
20,37,100.64516400000001,24.13871,455.12903
21,0,159.64516,19.809677,538.0968
21,1,162.06451,19.125807000000002,527.5161
21,2,169.58064,18.122581,505.09677
21,3,174.87097,17.680645000000002,495.19354000000004
21,4,197.0,14.745160999999998,441.1613
21,5,199.35484,14.212903,435.67742999999996
21,6,201.70967,13.319354999999998,413.2903
21,7,186.58064,13.754839000000002,404.5484
21,8,178.19353999999998,14.187097,418.32257000000004
21,9,167.29033,14.916129000000002,420.3871
21,10,164.09677,15.080646,414.8387
21,11,169.19353999999998,14.496773999999998,403.67742999999996
21,12,173.93549,14.016129500000002,385.35483
21,13,191.3871,12.674192999999999,359.32257000000004
21,14,185.45161000000002,13.106452,366.87097
21,15,147.32259,16.580645,403.8387
21,16,147.54838999999998,16.632257,413.32257000000004
21,17,134.25807,18.212904,427.2258
21,18,122.74193600000001,20.022581,444.03225999999995
21,19,123.67742,19.732257999999998,442.03225999999995
21,20,110.41936000000001,22.506453,469.90323
21,21,107.74193600000001,23.067741,474.5484
21,22,100.77419,24.4,482.80645999999996
21,23,100.51613,24.693548,489.0645
21,24,99.0,25.035484,488.9355
21,25,98.70968,25.329033,484.96774000000005
21,26,98.19355,25.4,482.6129
21,27,98.67742,25.151613,487.87097
21,28,100.0,24.774193,481.51614000000006
21,29,100.32258,24.619354,476.9355
21,30,100.22581,24.483871,469.32257000000004
21,31,100.64516400000001,24.412903,469.35483
21,32,101.548386,24.280645,468.6129
21,33,101.19355,24.112904,460.74194000000006
21,34,101.58064,24.016129,455.8387
21,35,100.935486,24.080645,456.7097
21,36,100.6129,24.122581,459.3871
21,37,100.64516400000001,24.122581,461.0645
21,38,100.80645,24.103226,461.7097
22,0,156.67741,19.706451,541.74194
22,1,166.7742,18.770967000000002,528.3871
22,2,171.54838999999998,18.206451,515.5161
22,3,170.70967,18.222579999999997,517.8387
22,4,173.67741,17.490322,498.1613
22,5,175.74193,16.696773999999998,483.25805999999994
22,6,194.80646000000002,13.990322,433.1613
22,7,194.96774,13.593549,424.03225999999995
22,8,191.19353999999998,14.112904,445.7742
22,9,175.70967,14.987097,448.87097
