r,c,lc0,lc1,dem,slp,asp,twi,DD5,PAS,AHM
55878.0,98998.0,10.0,10.0,174.0,0.113,83.65899999999999,60.095,216.0,92.0,-24.8
25836.0,10539.0,8.0,8.0,17.0,0.011,135.02100000000002,577.639,816.0,185.0,17.4
59137.0,86559.0,10.0,10.0,437.0,0.017,135.001,463.278,323.0,137.0,-9.0
59629.0,97265.0,10.0,10.0,189.0,0.083,275.711,94.346,294.0,99.0,-15.5
20154.0,45739.0,14.0,14.0,185.0,0.016,0.0,540.003,535.0,126.0,-3.5
50309.0,77283.0,5.0,5.0,524.0,0.0289999999999999,188.131,230.892,358.0,145.0,-0.4
69141.0,89005.0,10.0,10.0,357.0,0.005,45.006,1671.281,589.0,140.0,4.5
66380.0,96519.0,10.0,10.0,347.0,0.068,334.983,124.636,384.0,127.0,-6.9
12182.0,38465.0,9.0,9.0,241.0,0.121,84.09299999999999,55.996,510.0,173.0,-6.3
13357.0,18840.0,8.0,8.0,34.0,0.1169999999999999,117.474,57.937,523.0,203.0,12.6
63838.0,81944.0,10.0,10.0,404.0,0.005,45.005,1341.009,531.0,151.0,2.8
18345.0,40998.0,5.0,5.0,301.0,0.118,309.288,82.29700000000001,504.0,148.0,-5.4
50834.0,64976.0,10.0,4.0,268.0,0.071,190.007,94.572,738.0,137.0,7.6
44156.0,52761.0,5.0,5.0,948.0,0.165,317.045,47.856,607.0,248.0,6.9
24014.0,7561.0,6.0,6.0,15.0,0.001,119.744,6802.394,733.0,156.0,21.6
37913.0,66047.0,10.0,10.0,180.0,0.1119999999999999,308.99,60.428,339.0,86.0,-6.2
15031.0,40683.0,9.0,9.0,202.0,0.1169999999999999,62.525,71.645,512.0,153.0,-8.6
80025.0,65104.0,7.0,11.0,430.0,0.037,186.33900000000003,272.16,1195.0,141.0,21.2
30009.0,38152.0,11.0,6.0,149.0,0.013,71.563,1061.169,1114.0,123.0,15.5
17772.0,19515.0,8.0,10.0,6.0,0.001,351.869,7901.005999999999,679.0,203.0,14.3
24805.0,81271.0,10.0,10.0,95.0,0.111,225.0,66.949,112.0,83.0,-49.0
36774.0,95267.0,14.0,14.0,83.0,0.035,134.999,223.476,137.0,60.0,-62.8
15815.0,26739.0,8.0,6.0,32.0,0.155,110.376,48.182,829.0,155.0,13.5
58101.0,39590.0,6.0,6.0,1355.0,0.156,295.201,89.072,569.0,189.0,20.2
18166.0,6539.0,6.0,6.0,10.0,0.018,296.565,365.126,610.0,203.0,17.0
86640.0,83409.0,14.0,10.0,518.0,0.042,11.309,160.08700000000002,1057.0,149.0,17.0
28559.0,86001.0,14.0,14.0,81.0,0.094,318.576,94.023,124.0,73.0,-50.9
25925.0,32873.0,6.0,6.0,494.0,0.347,186.188,19.554,719.0,267.0,7.7
55593.0,52496.0,14.0,14.0,1510.0,0.565,53.383,14.470999999999998,386.0,411.0,3.9
68284.0,93449.0,10.0,10.0,264.0,0.042,119.055,184.187,505.0,129.0,0.1
26151.0,78378.0,10.0,5.0,158.0,0.235,133.567,28.851,116.0,82.0,-42.6
32655.0,88990.0,14.0,14.0,166.0,0.4479999999999999,311.987,16.714000000000002,110.0,68.0,-61.0
51052.0,94892.0,10.0,10.0,60.0,0.068,165.96400000000003,98.989,254.0,82.0,-25.1
42010.0,53986.0,11.0,11.0,265.0,0.0579999999999999,90.0,116.612,802.0,163.0,8.4
41543.0,72783.0,10.0,10.0,407.0,0.295,270.806,37.927,192.0,121.0,-8.6
32142.0,38742.0,6.0,6.0,398.0,0.138,354.805,49.271,894.0,137.0,16.9
88524.0,85758.0,13.0,13.0,485.0,0.012,108.439,603.39,1074.0,142.0,16.8
71225.0,96423.0,10.0,10.0,307.0,0.033,0.001,224.871,504.0,131.0,-0.8
83733.0,81178.0,10.0,10.0,302.0,0.052,341.555,185.921,1181.0,138.0,20.2
